编号 站点 相邻站点 行程时间（min） 距离（km） 
1 广州东站 1 2 2 1.92 
2 体育中心 2 3 2 1.05 
3 体育西路 3 4 2 1.29 
4 杨箕 4 5 2 1.44 
5 东山口 5 6 2 1.09 
6 烈士陵园 6 7 2 0.94 
7 农讲所 7 8 2 1.21 
8 公园前 8 9 1 0.86 
9 西门口 9 10 2 0.93 
10 陈家祠 10 11 2 1.13 
11 长寿路 11 12 2 0.94 
12 黄沙 12 13 2 1.35 
13 芳村 13 14 2 1.33 
14 花地湾 14 15 2 0.92 
15 坑口 15 16 2 1.55 
16 西朗 
17 嘉禾望岗 17 18 3 1.91 
18 黄边 18 19 2 1.23 
19 江夏 19 20 2 1.51 
20 萧岗 20 21 2 1.12 
21 白云文化广场 21 22 2 1.02 
22 白云公园 22 23 2 1.61 
23 飞翔公园 23 24 2 1.25 
24 三元里 24 25 2 1.41 
25 广州火车站 25 26 2 0.95 
26 越秀公园 26 27 2 0.91 
27 纪念堂 27 28 1 0.79 
28 公园前 28 29 3 1.30 
29 海珠广场 29 30 2 1.04 
30 市二宫 30 31 1 1.08 
31 江南西 31 32 1 0.76 
32 昌岗 32 33 2 1.01 
33 江泰路 33 34 2 1.92 
34 东晓南 34 35 1 0.91 
35 南洲 35 36 3 2.40 
36 洛溪 36 37 2 1.10 
37 南浦 37 38 3 2.50 
38 会江 38 39 3 2.40 
39 石壁 39 40 1 1.26 
40 广州南站 
41 天河客运站 41 42 3 2.19 
42 五山 42 43 2 1.61 
43 华师 43 44 2 0.85 
44 岗顶 44 45 2 0.90 
45 石牌桥 45 46 2 1.31 
46 体育西路 46 47 2 1.29 
47 珠江新城 47 48 2 1.54 
48 广州塔 48 49 2 1.15 
49 客村 49 50 2 2.04 
50 大塘 50 51 4 2.54 
51 沥滘 51 52 2 1.90 
52 厦滘 52 53 2 2.22 
53 大石 53 54 3 3.13 
54 汉溪长隆 54 55 5 6.07 
55 市桥 55 56 3 3.90 
56 番禺广场 
57 机场南 57 58 5 3.41 
58 高增 58 59 5 2.65 
59 人和 59 60 5 5.48 
60 龙归 60 61 5 6.26 
61 嘉禾望岗 61 62 5 2.01 
62 白云大道北 62 63 2 0.86 
63 永泰 63 64 4 3.38 
64 同和 64 65 2 1.42 
65 京溪南方医院 65 66 2 1.36 
66 梅花园 66 67 3 2.10 
67 燕塘 67 68 2 1.27 
68 广州东站 68 69 2 0.84 
69 林和西 69 70 2 1.22 
70 体育西路 
71 黄村 71 72 3 1.92 
72 车陂 72 73 3 1.29 
73 车陂南 73 74 3 2.10 
74 万胜围 74 75 3 3.76 
75 官洲 75 76 3 1.32 
76 大学城北 76 77 3 2.23 
77 大学城南 77 78 2 2.29 
78 新造 78 79 8 9.40 
79 石碁 79 80 2 2.23 
80 海傍 80 81 3 2.47 
81 低涌 81 82 4 3.93 
82 东涌 82 83 5 2.69 
83 庆盛 83 84 5 3.75 
84 黄阁汽车城 84 85 2 1.53 
85 黄阁 85 86 4 3.01 
86 蕉门 86 87 3 1.94 
87 金洲 
88 滘口 88 89 2 1.65 
89 坦尾 89 90 3 1.50 
90 中山八 90 91 2 1.38 
91 西场 91 92 1 0.65 
92 西村 92 93 3 1.71 
93 火车站 93 94 3 2.25 
94 小北 94 95 1 1.10 
95 淘金 95 96 2 1.05 
96 区庄 96 97 1 1.09 
97 动物园 97 98 2 0.95 
98 杨箕 98 99 2 1.16 
99 五羊邨 99 100 1 0.69 
100 珠江新城 100 101 2 1.14 
101 猎德 101 102 2 1.38 
102 潭村 102 103 2 1.85 
103 员村 103 104 2 1.48 
104 科韵路 104 105 2 1.30 
105 车陂南 105 106 2 1.46 
106 东圃 106 107 2 1.56 
107 三溪 107 108 2 1.78 
108 鱼珠 108 109 2 1.58 
109 大沙地 109 110 2 1.30 
110 大沙东 110 111 2 1.11 
111 文冲 
112 浔峰岗 112 113 1 0.87 
113 横沙 113 114 1 0.79 
114 沙贝 114 115 3 2.15 
115 河沙 115 116 2 1.15 
116 坦尾 116 117 2 1.78 
117 如意坊 117 118 2 1.13 
118 黄沙 118 119 2 0.90 
119 文化公园 119 120 2 0.94 
120 一德路 120 121 2 0.88 
121 海珠广场 121 122 1 0.70 
122 北京路 122 123 2 0.82 
123 团一大广场 123 124 2 1.13 
124 东湖 124 125 2 1.45 
125 东山口 125 126 2 1.25 
126 区庄 126 127 1 0.91 
127 黄花岗 127 128 2 1.05 
128 沙河顶 128 129 2 0.89 
129 沙河 129 130 1 1.32 
130 天平架 130 131 1 0,60 
131 燕塘 131 132 3 2.21 
132 天河客运站 132 133 2 1.06 
133 长湴 
134 凤凰新村 134 135 2 0.81 
135 沙园 135 136 2 1.08 
136 宝岗大道 136 137 2 0.95 
137 昌岗 137 138 1 0.57 
138 晓港 138 139 2 1.20 
139 中大 139 140 3 1.76 
140 鹭江 140 141 2 1.22 
141 客村 141 142 2 1.51 
142 赤岗 142 143 2 0.80 
143 磨碟沙 143 144 2 1.58 
144 新港东 144 145 1 0.99 
145 琶洲 145 146 2 1.85 
146 万胜围 
147 魁奇路 147 148 2 1.44 
148 季华园 148 149 3 1.35 
149 同济路 149 150 2 1.12 
150 祖庙 150 151 2 1.09 
151 普君北路 151 152 1 1.13 
152 朝安 152 153 2 1.02 
153 桂城 153 154 3 1.33 
154 南桂路 154 155 1 1.04 
155 礌岗 155 156 3 1.34 
156 千灯湖 156 157 2 1.37 
157 金融高新区 157 158 5 3.72 
158 龙溪 158 159 3 2.07 
159 菊树 159 160 3 1.98 
160 西朗 
161 林和西 161 162 2 0.82 
162 体育中心南 162 163 1 0.35 
163 天河南 163 164 1 0.47 
164 黄埔大道 164 165 2 0.47 
165 妇儿中心 165 166 1 0.39 
166 花城大道 166 167 1 0.41 
167 大剧院 167 168 1 0.43 
168 海心沙 168 169 1 0.63 
169 广州塔
